pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Purine metabolism,EHMN,7,C00064;C00013;C00074;C05512;C00025;C00080;C00499,94 (94),0.00333,0.0641
Hereditary leiomyomatosis and renal cell carcinoma pathway,Wikipathways,3,C00158;C00311;C00026,15 (21),0.0034,0.0651
Urea cycle and metabolism of amino groups,Wikipathways,4,C00077;C00062;C02305;C00025,31 (32),0.00372,0.0703
Metabolism of ingested SeMet_ Sec_ MeSec into H2Se,Reactome,4,C05698;C05689;C00153;C00013,31 (32),0.00372,0.0703
Trans-sulfuration and one carbon metabolism,Wikipathways,4,C00077;C00065;C01005;C01026,31 (33),0.00372,0.0703
Translation,Reactome,6,C00064;C00013;C00062;C00025;C00047;C00135,72 (78),0.00375,0.0705
isoleucine degradation,HumanCyc,3,C00026;C00025;C00080,16 (16),0.00412,0.073
cysteine biosynthesis,HumanCyc,3,C00065;C00013;C01026,16 (16),0.00412,0.073
superpathway of choline degradation to L-serine,HumanCyc,3,C00065;C01026;C00080,16 (16),0.00412,0.073
(S)-reticuline biosynthesis,HumanCyc,3,C00026;C00025;C00080,16 (16),0.00412,0.073
Aminosugars metabolism,INOH,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
Sialuria or French Type Sialuria,SMPDB,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
Sialuria or French Type Sialuria,SMPDB,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
G(M2)-Gangliosidosis: Variant B_ Tay-sachs disease,SMPDB,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
Tay-Sachs Disease,SMPDB,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
Amino Sugar Metabolism,SMPDB,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
Salla Disease/Infantile Sialic Acid Storage Disease,SMPDB,4,C00064;C00013;C00074;C00025,32 (32),0.00418,0.073
OAS antiviral response,Wikipathways,2,C00013;C00080,5 (5),0.00419,0.073
HDR through MMEJ (alt-NHEJ),Reactome,2,C00013;C00153,5 (5),0.00419,0.073
creatine-phosphate biosynthesis,HumanCyc,2,C02305;C00080,5 (5),0.00419,0.073
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Reactome,2,C00026;C00080,5 (5),0.00419,0.073
Diseases of metabolism,Reactome,2,C00026;C00080,5 (5),0.00419,0.073
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Wikipathways,2,C00026;C00080,5 (5),0.00419,0.073
HDR through MMEJ (alt-NHEJ),Wikipathways,2,C00013;C00153,5 (5),0.00419,0.073
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,33 (34),0.00469,0.0807
Sulfur metabolism - Homo sapiens (human),KEGG,4,C00087;C19692;C00065;C00979,33 (33),0.00469,0.0807
Amino acid synthesis and interconversion (transamination),Wikipathways,4,C00077;C00013;C00026;C00080,33 (40),0.00469,0.0807
Selenoamino acid metabolism,Wikipathways,5,C05698;C00013;C00153;C05689;C00080,53 (59),0.00476,0.0816
Biogenic Amine Synthesis,Wikipathways,3,C00334;C00025;C00135,17 (17),0.00493,0.0826
Pyruvate Carboxylase Deficiency,SMPDB,3,C00013;C00025;C00026,17 (17),0.00493,0.0826
Primary Hyperoxaluria Type I,SMPDB,3,C00013;C00025;C00026,17 (17),0.00493,0.0826
Lactic Acidemia,SMPDB,3,C00013;C00025;C00026,17 (17),0.00493,0.0826
fatty acid &alpha;-oxidation,HumanCyc,3,C00013;C00026;C00080,17 (20),0.00493,0.0826
Alanine Metabolism,SMPDB,3,C00013;C00025;C00026,17 (17),0.00493,0.0826
Sulfur amino acid metabolism,Reactome,5,C00013;C00026;C00025;C00080;C01026,54 (66),0.00516,0.086
Glycolysis Gluconeogenesis,INOH,4,C00013;C00074;C00025;C00026,34 (34),0.00523,0.0865
Pyrimidine metabolism,EHMN,6,C00064;C00013;C00074;C00025;C00080;C00475,77 (77),0.00523,0.0865
ABC transporters - Homo sapiens (human),KEGG,8,C00064;C00065;C00062;C00077;C00025;C03619;C00047;C00135,129 (129),0.00533,0.0879
Spermidine and Spermine Biosynthesis,SMPDB,3,C00077;C00013;C00080,18 (18),0.00583,0.0957
Selenoamino acid metabolism,Reactome,5,C05698;C05689;C00153;C00013;C00080,56 (61),0.00603,0.097
Pyrimidine nucleotides nucleosides metabolism,INOH,5,C00064;C00013;C00026;C00025;C00475,56 (56),0.00603,0.097
Metabolism of nucleotides,Reactome,8,C00064;C00013;C05512;C00025;C00087;C01205;C00080;C00475,132 (152),0.00612,0.097
oxidized GTP and dGTP detoxification,HumanCyc,2,C00013;C00080,6 (10),0.0062,0.097
L-serine degradation,HumanCyc,2,C00065;C00080,6 (7),0.0062,0.097
glycogen biosynthesis,HumanCyc,2,C00013;C00080,6 (7),0.0062,0.097
POLB-Dependent Long Patch Base Excision Repair,Reactome,2,C00013;C00153,6 (6),0.0062,0.097
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Reactome,2,C00013;C00153,6 (6),0.0062,0.097
Astrocytic Glutamate-Glutamine Uptake And Metabolism,Reactome,2,C00064;C00025,6 (6),0.0062,0.097
Neurotransmitter uptake and metabolism In glial cells,Reactome,2,C00064;C00025,6 (6),0.0062,0.097
Miscellaneous transport and binding events,Wikipathways,2,C00013;C00080,6 (10),0.0062,0.097
Uptake and function of anthrax toxins,Wikipathways,2,C00013;C00080,6 (6),0.0062,0.097
NADPH regeneration,Wikipathways,2,C00080;C00026,6 (6),0.0062,0.097
Purine nucleotides nucleosides metabolism,INOH,6,C00064;C00013;C00074;C05512;C00025;C00499,80 (80),0.0063,0.0982
Butanoate metabolism,EHMN,4,C00013;C00080;C00025;C00026,36 (36),0.00643,0.0999
Synthesis of substrates in N-glycan biosythesis,Reactome,5,C00064;C00013;C00074;C00025;C00080,57 (68),0.0065,0.101
Iron uptake and transport,Reactome,3,C00158;C00311;C00080,19 (21),0.00682,0.104
Neurotransmitter receptors and postsynaptic signal transmission,Reactome,3,C00334;C00013;C00025,19 (19),0.00682,0.104
Alanine and aspartate metabolism,Wikipathways,3,C00158;C00386;C00026,19 (20),0.00682,0.104
G alpha (q) signalling events,Reactome,5,C00077;C00080;C00025;C00062;C00047,58 (63),0.007,0.106
purine nucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00013;C00025;C00080,37 (37),0.00709,0.106
Metabolism of cofactors,Reactome,4,C00013;C00311;C00080;C00026,37 (47),0.00709,0.106
Metabolism of vitamins and cofactors,Reactome,8,C00064;C00013;C00153;C00025;C00026;C00311;C00080;C00047,136 (180),0.0073,0.106
superpathway of tryptophan utilization,HumanCyc,5,C00064;C00013;C00322;C00080;C00025,59 (70),0.00752,0.106
Pyrimidine metabolism,Wikipathways,4,C00064;C21029;C01205;C00475,38 (40),0.0078,0.106
Troleandomycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Sialic acid metabolism,Reactome,3,C00013;C00074;C00080,20 (27),0.0079,0.106
leucine degradation,HumanCyc,3,C00026;C00025;C00080,20 (20),0.0079,0.106
Josamycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Methacycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Streptomycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Spectinomycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Kanamycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Gentamicin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Netilmicin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Neomycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Roxithromycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Erythromycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Amikacin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Telithromycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Carnitine Synthesis,SMPDB,3,C00080;C00047;C00026,20 (20),0.0079,0.106
Tobramycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Tigecycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Arbekacin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Paromomycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Doxycycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Oxytetracycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Minocycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Lymecycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Tetracycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Clomocycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Lincomycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Rolitetracycline Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Chloramphenicol Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Clarithromycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Clindamycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Azithromycin Action Pathway,SMPDB,3,C00013;C00740;C00135,20 (20),0.0079,0.106
Sialic acid metabolism,Wikipathways,3,C00013;C00074;C00080,20 (27),0.0079,0.106
GDP-mannose biosynthesis,HumanCyc,2,C00013;C00080,7 (8),0.00856,0.11
mRNA capping,HumanCyc,2,C00013;C00080,7 (7),0.00856,0.11
Transport and synthesis of PAPS,Reactome,2,C00013;C00080,7 (7),0.00856,0.11
GDP-L-fucose biosynthesis II (from L-fucose),HumanCyc,2,C00013;C00080,7 (8),0.00856,0.11
Nicotine addiction - Homo sapiens (human),KEGG,2,C00334;C00025,7 (7),0.00856,0.11
putrescine biosynthesis II,HumanCyc,2,C00062;C00080,7 (7),0.00856,0.11
sulfate activation for sulfonation,HumanCyc,2,C00013;C00080,7 (7),0.00856,0.11
2-oxoglutarate decarboxylation to succinyl-CoA,HumanCyc,2,C00026;C00080,7 (7),0.00856,0.11
flavin biosynthesis,HumanCyc,2,C00013;C00080,7 (7),0.00856,0.11
Biotin Metabolism,SMPDB,2,C00013;C00047,7 (7),0.00856,0.11
Multiple carboxylase deficiency_ neonatal or early onset form,SMPDB,2,C00013;C00047,7 (7),0.00856,0.11
Biotinidase Deficiency,SMPDB,2,C00013;C00047,7 (7),0.00856,0.11
Cytosolic iron-sulfur cluster assembly,Wikipathways,2,C00087;C00080,7 (10),0.00856,0.11
Demeclocycline Action Pathway,SMPDB,3,C00013;C00740;C00135,21 (21),0.00907,0.116
Vitamin E metabolism,EHMN,3,C00013;C00047;C00080,21 (21),0.00907,0.116
Valine_ leucine and isoleucine degradation,EHMN,5,C00013;C00026;C03284;C00080;C00025,62 (62),0.00925,0.118
Glucose metabolism,Wikipathways,4,C00158;C00074;C00026;C00080,40 (43),0.00936,0.119
Alpha-oxidation of phytanate,Reactome,3,C00013;C00026;C00080,22 (25),0.0103,0.131
Phytanic acid peroxisomal oxidation,EHMN,3,C00013;C00080;C00026,22 (22),0.0103,0.131
NAD Biosynthesis II (from tryptophan),Wikipathways,3,C00064;C00013;C00025,22 (23),0.0103,0.131
Butanoate metabolism - Homo sapiens (human),KEGG,4,C00334;C00741;C00025;C00026,42 (42),0.0111,0.137
One carbon metabolism and related pathways,Wikipathways,4,C00217;C00065;C02356;C01026,42 (42),0.0111,0.137
4-hydroxy-2-nonenal detoxification,HumanCyc,2,C00025;C00080,8 (8),0.0113,0.137
Conjugation of phenylacetate with glutamine,Reactome,2,C00064;C00013,8 (8),0.0113,0.137
Global Genome Nucleotide Excision Repair (GG-NER),Reactome,2,C00013;C00153,8 (8),0.0113,0.137
Glutamatergic synapse - Homo sapiens (human),KEGG,2,C00064;C00025,8 (8),0.0113,0.137
Resolution of Abasic Sites (AP sites),Reactome,2,C00013;C00153,8 (8),0.0113,0.137
lipoate biosynthesis and incorporation,HumanCyc,2,C00013;C00080,8 (8),0.0113,0.137
pyrimidine ribonucleosides degradation,HumanCyc,2,C00475;C00080,8 (8),0.0113,0.137
methionine salvage,HumanCyc,2,C01026;C00080,8 (8),0.0113,0.137
Resolution of Abasic Sites (AP sites),Wikipathways,2,C00013;C00153,8 (9),0.0113,0.137
Nucleotide Excision Repair,Reactome,2,C00013;C00153,8 (8),0.0113,0.137
TP53 Regulates Metabolic Genes,Reactome,3,C00064;C00025;C00080,23 (25),0.0117,0.143
Nucleotide salvage,Wikipathways,4,C05512;C00013;C00475;C00080,43 (45),0.012,0.146
GPCR ligand binding,Reactome,7,C00077;C00062;C00025;C00026;C00080;C00334;C00047,121 (141),0.013,0.157
Tyrosine metabolism,INOH,4,C05422;C00025;C00026;C05581,44 (44),0.013,0.157
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,4,C00158;C00311;C00026;C00080,44 (44),0.013,0.157
Nucleotide salvage,Reactome,4,C05512;C00013;C00475;C00080,44 (45),0.013,0.157
Pyrimidine metabolism and related diseases,Wikipathways,3,C03284;C00475;C00515,24 (31),0.0132,0.158
HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA),Reactome,2,C00013;C00153,9 (10),0.0143,0.163
Homology Directed Repair,Reactome,2,C00013;C00153,9 (10),0.0143,0.163
Biotin transport and metabolism,Reactome,2,C00013;C00047,9 (9),0.0143,0.163
pyrimidine ribonucleosides salvage I,HumanCyc,2,C00475;C00080,9 (9),0.0143,0.163
dolichol and dolichyl phosphate biosynthesis,HumanCyc,2,C00013;C00080,9 (10),0.0143,0.163
phosphatidylcholine biosynthesis,HumanCyc,2,C00013;C00080,9 (12),0.0143,0.163
purine deoxyribonucleosides degradation,HumanCyc,2,C05512;C00080,9 (10),0.0143,0.163
diphthamide biosynthesis,HumanCyc,2,C00013;C00080,9 (9),0.0143,0.163
Post NMDA receptor activation events,Reactome,2,C00013;C00025,9 (9),0.0143,0.163
Phenylacetate Metabolism,SMPDB,2,C00064;C00013,9 (9),0.0143,0.163
proline degradation,HumanCyc,2,C00025;C00080,9 (10),0.0143,0.163
glutathione biosynthesis,HumanCyc,2,C00025;C00080,9 (9),0.0143,0.163
Nucleotide Excision Repair,Wikipathways,2,C00013;C00153,9 (9),0.0143,0.163
phosphatidylethanolamine biosynthesis II,HumanCyc,2,C00013;C00080,9 (12),0.0143,0.163
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),Wikipathways,2,C00013;C00153,9 (10),0.0143,0.163
Metabolism of vitamin K,Wikipathways,2,C00013;C00080,9 (11),0.0143,0.163
Histidine synthesis_ part of Histidine biosynthesis I pathway,Wikipathways,2,C00064;C00135,9 (16),0.0143,0.163
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,5,C00064;C00013;C00074;C00025;C00080,70 (81),0.0152,0.173
Metabolism of water-soluble vitamins and cofactors,Reactome,6,C00064;C00013;C00153;C00025;C00080;C00047,98 (122),0.0163,0.183
Interconversion of nucleotide di- and triphosphates,Reactome,4,C00064;C00013;C00025;C00080,47 (52),0.0163,0.183
Metabolism of polyamines,Wikipathways,4,C00077;C00013;C00080;C02305,47 (59),0.0163,0.183
Beta-mercaptolactate-cysteine disulfiduria,SMPDB,3,C00013;C00025;C00026,26 (26),0.0165,0.183
Cysteine Metabolism,SMPDB,3,C00013;C00025;C00026,26 (26),0.0165,0.183
sarcosine oncometabolite pathway ,SMPDB,3,C00065;C00013;C01026,26 (26),0.0165,0.183
Cystinosis_ ocular nonnephropathic,SMPDB,3,C00013;C00025;C00026,26 (26),0.0165,0.183
Platelet homeostasis,Reactome,3,C00013;C00080;C00062,26 (28),0.0165,0.183
thymine degradation,HumanCyc,2,C01205;C00080,10 (10),0.0176,0.192
Formation of the active cofactor_ UDP-glucuronate,Reactome,2,C00013;C00080,10 (10),0.0176,0.192
Uptake and actions of bacterial toxins,Reactome,2,C00013;C00153,10 (11),0.0176,0.192
Amyotrophic lateral sclerosis (ALS) - Homo sapiens (human),KEGG,2,C00025;C00062,10 (10),0.0176,0.192
ascorbate recycling (cytosolic),HumanCyc,2,C05422;C00080,10 (10),0.0176,0.192
Putative anti-Inflammatory metabolites formation from EPA,EHMN,2,C00025;C00080,10 (10),0.0176,0.192
Amyotrophic lateral sclerosis (ALS),Wikipathways,2,C00025;C00062,10 (11),0.0176,0.192
Cannabinoid receptor signaling,Wikipathways,2,C00334;C00025,10 (20),0.0176,0.192
molybdenum cofactor biosynthesis,HumanCyc,2,C00013;C00080,10 (13),0.0176,0.192
Disulfiram Action Pathway,SMPDB,5,C05581;C00013;C00080;C00025;C00026,75 (77),0.02,0.216
Phenylketonuria,SMPDB,3,C00013;C00025;C00026,28 (28),0.0201,0.216
Tyrosinemia Type 3 (TYRO3),SMPDB,3,C00013;C00025;C00026,28 (28),0.0201,0.216
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMPDB,3,C00013;C00025;C00026,28 (28),0.0201,0.216
Phenylalanine and Tyrosine Metabolism,SMPDB,3,C00013;C00025;C00026,28 (28),0.0201,0.216
Glycine_ serine and threonine metabolism - Homo sapiens (human),KEGG,4,C00065;C01005;C00740;C01026,50 (50),0.0201,0.216
Uncoating of the Influenza Virion,Reactome,1,C00080,1 (1),0.021,0.22
Fusion and Uncoating of the Influenza Virion,Reactome,1,C00080,1 (1),0.021,0.22
gamma-aminobutyric acid receptor life cycle pathway,BioCarta,1,C00334,1 (1),0.021,0.22
ERK Pathway in Huntington_s Disease,Wikipathways,1,C00025,1 (1),0.021,0.22
GDP-glucose biosynthesis II,HumanCyc,2,C00013;C00080,11 (11),0.0212,0.22
&beta;-alanine degradation,HumanCyc,2,C00025;C00026,11 (11),0.0212,0.22
Proline catabolism,Reactome,2,C00025;C00080,11 (11),0.0212,0.22
Nitric oxide stimulates guanylate cyclase,Reactome,2,C00013;C00062,11 (11),0.0212,0.22
methionine degradation,HumanCyc,2,C00013;C01026,11 (11),0.0212,0.22
glycine betaine degradation,HumanCyc,2,C00065;C01026,11 (11),0.0212,0.22
Activation of NMDA receptor and postsynaptic events,Reactome,2,C00013;C00025,11 (11),0.0212,0.22
D-Arginine and D-Ornithine Metabolism,SMPDB,2,C00792;C00515,11 (11),0.0212,0.22
dTMP <i>de novo</i> biosynthesis (mitochondrial),HumanCyc,2,C00065;C00080,11 (11),0.0212,0.22
epoxysqualene biosynthesis,HumanCyc,2,C00013;C00080,11 (11),0.0212,0.22
biotin-carboxyl carrier protein assembly,HumanCyc,2,C00013;C00080,11 (11),0.0212,0.22
Mineral absorption - Homo sapiens (human),KEGG,3,C00064;C00065;C00080,29 (29),0.0221,0.228
Tyrosine metabolism,EHMN,6,C00065;C00013;C00025;C00026;C05581;C00080,105 (105),0.0222,0.229
Glycolysis and Gluconeogenesis,EHMN,4,C00158;C00013;C00074;C00080,52 (52),0.0229,0.235
Purine salvage,Reactome,3,C05512;C00013;C00080,30 (31),0.0242,0.248
Sulfur amino acid metabolism,Wikipathways,4,C00013;C00026;C01026;C00080,53 (67),0.0244,0.249
ethanol degradation II,HumanCyc,2,C00013;C00080,12 (12),0.0251,0.253
adenine and adenosine salvage III,HumanCyc,2,C00013;C00080,12 (12),0.0251,0.253
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA,HumanCyc,2,C00322;C00080,12 (12),0.0251,0.253
phytol degradation,HumanCyc,2,C00013;C00080,12 (14),0.0251,0.253
Mono-unsaturated fatty acid beta-oxidation,EHMN,2,C00013;C00080,12 (12),0.0251,0.253
Threonine catabolism,Wikipathways,2,C00013;C00080,12 (15),0.0251,0.253
NO-cGMP-PKG mediated Neuroprotection,Wikipathways,2,C00025;C00062,12 (16),0.0251,0.253
The citric acid (TCA) cycle and respiratory electron transport,Reactome,4,C00158;C00311;C00026;C00080,54 (56),0.0259,0.26
Phenylalanine and tyrosine catabolism,Reactome,3,C00080;C00025;C00026,31 (31),0.0264,0.263
Glycolysis,Reactome,3,C00158;C00074;C00080,31 (32),0.0264,0.263
Pentose phosphate cycle,INOH,3,C00064;C00013;C00025,31 (31),0.0264,0.263
Nicotinate and nicotinamide metabolism - Homo sapiens (human),KEGG,4,C00334;C00153;C16152;C16159,55 (55),0.0275,0.274
GPCR downstream signalling,Reactome,8,C00077;C00013;C00062;C00025;C00026;C00080;C00334;C00047,173 (209),0.0279,0.276
Nucleobase catabolism,Wikipathways,5,C05512;C00013;C00475;C00080;C01205,82 (100),0.0281,0.278
Metabolism of carbohydrates,Reactome,6,C00158;C00013;C00074;C00025;C00026;C00080,111 (137),0.0283,0.279
beta-Alanine metabolism - Homo sapiens (human),KEGG,3,C00334;C00386;C00135,32 (32),0.0287,0.281
histamine degradation,HumanCyc,2,C05130;C00080,13 (13),0.0293,0.281
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II,HumanCyc,2,C00013;C00080,13 (16),0.0293,0.281
folate polyglutamylation,HumanCyc,2,C00065;C00025,13 (13),0.0293,0.281
DNA Double-Strand Break Repair,Reactome,2,C00013;C00153,13 (14),0.0293,0.281
GDP-fucose biosynthesis,Reactome,2,C00013;C00080,13 (15),0.0293,0.281
ethanol degradation IV,HumanCyc,2,C00013;C00080,13 (13),0.0293,0.281
coenzyme A biosynthesis,HumanCyc,2,C00013;C00080,13 (13),0.0293,0.281
Famotidine Action Pathway,SMPDB,2,C00025;C00080,13 (13),0.0293,0.281
Vitamin C metabolism,EHMN,2,C04575;C00080,13 (13),0.0293,0.281
Threonine catabolism,Reactome,2,C00013;C00080,13 (15),0.0293,0.281
CDP-diacylglycerol biosynthesis,HumanCyc,2,C00013;C00080,13 (19),0.0293,0.281
ubiquinol-10 biosynthesis,HumanCyc,2,C00013;C00080,13 (21),0.0293,0.281
Signaling by GPCR,Reactome,8,C00077;C00013;C00062;C00025;C00026;C00080;C00334;C00047,176 (213),0.0305,0.29
Nicotinamide salvaging,Reactome,3,C00013;C00153;C00080,33 (38),0.0311,0.29
Fructose Mannose metabolism,INOH,3,C00064;C00013;C00025,33 (33),0.0311,0.29
Propanoate metabolism,EHMN,3,C00158;C00013;C00080,33 (33),0.0311,0.29
Azathioprine Action Pathway,SMPDB,5,C00064;C05512;C00013;C16621;C00025,85 (86),0.0322,0.29
3-Methylglutaconic Aciduria Type I,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Valine_ Leucine and Isoleucine Degradation,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Isovaleric Aciduria,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
3-Methylcrotonyl Coa Carboxylase Deficiency Type I,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Propionic Acidemia,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Maple Syrup Urine Disease,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Isobutyryl-coa dehydrogenase deficiency,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
3-hydroxyisobutyric aciduria,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
3-hydroxyisobutyric acid dehydrogenase deficiency,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Isovaleric acidemia,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Methylmalonate Semialdehyde Dehydrogenase Deficiency,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Methylmalonic Aciduria,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
3-Methylglutaconic Aciduria Type IV,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
3-Methylglutaconic Aciduria Type III,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Beta-Ketothiolase Deficiency,SMPDB,4,C03284;C00026;C00080;C00025,58 (58),0.0327,0.29
Fatty acyl-CoA biosynthesis,Reactome,3,C00158;C00013;C00080,34 (42),0.0336,0.29
Phosphoenolpyruvate carboxykinase deficiency 1 (PEPCK1),SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Degradation of cysteine and homocysteine,Reactome,3,C00080;C00025;C00026,34 (39),0.0336,0.29
Gluconeogenesis,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Glycogenosis_ Type IA. Von gierke disease,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Glycogenosis_ Type IC,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Triosephosphate isomerase,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Fructose-1_6-diphosphatase deficiency,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Glycogenosis_ Type IB,SMPDB,3,C00074;C00026;C00080,34 (34),0.0336,0.29
Transport of inorganic cations-anions and amino acids-oligopeptides,Wikipathways,3,C00077;C00740;C00080,34 (58),0.0336,0.29
Fatty acyl-CoA biosynthesis,Wikipathways,3,C00158;C00013;C00080,34 (42),0.0336,0.29
Nucleobase catabolism,Reactome,5,C05512;C00013;C00475;C00080;C01205,86 (100),0.0337,0.29
eicosapentaenoate biosynthesis,HumanCyc,2,C00013;C00080,14 (17),0.0337,0.29
L-carnitine biosynthesis,HumanCyc,2,C00026;C00080,14 (14),0.0337,0.29
glutathione-mediated detoxification,HumanCyc,2,C00025;C00080,14 (14),0.0337,0.29
Conjugation of carboxylic acids,Reactome,2,C00064;C00013,14 (15),0.0337,0.29
Amino Acid conjugation,Reactome,2,C00064;C00013,14 (15),0.0337,0.29
Beta oxidation of butanoyl-CoA to acetyl-CoA,Reactome,2,C00013;C00080,14 (14),0.0337,0.29
Organic anion transporters,Reactome,2,C00025;C00080,14 (15),0.0337,0.29
Synthesis of Ketone Bodies,Reactome,2,C00013;C00080,14 (14),0.0337,0.29
Molybdenum cofactor biosynthesis,Reactome,2,C00013;C00080,14 (20),0.0337,0.29
Phenylalanine degradation,INOH,2,C00025;C00026,14 (14),0.0337,0.29
Aflatoxin activation and detoxification,Reactome,2,C00025;C00080,14 (25),0.0337,0.29
Vitamin B2 (riboflavin) metabolism,EHMN,2,C00013;C00080,14 (14),0.0337,0.29
pyrimidine ribonucleosides degradation,HumanCyc,2,C00475;C00080,14 (14),0.0337,0.29
GABA synthesis_ release_ reuptake and degradation,Wikipathways,2,C00080;C00026,14 (16),0.0337,0.29
proline biosynthesis,HumanCyc,2,C00025;C00080,14 (14),0.0337,0.29
Vitamin B6-dependent and responsive disorders,Wikipathways,2,C00025;C00047,14 (18),0.0337,0.29
