pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00049;C00025;C00080,22 (23),0.00235,0.0503
UTP and CTP dephosphorylation II,HumanCyc,3,C00064;C00025;C00080,11 (11),0.00254,0.0532
acetone degradation I (to methylglyoxal),HumanCyc,3,C00164;C00080;C05235,11 (11),0.00254,0.0532
Proline catabolism,Reactome,3,C00148;C00025;C00080,11 (11),0.00254,0.0532
Glucose-Alanine Cycle,SMPDB,3,C00022;C00025;C00080,11 (11),0.00254,0.0532
UTP and CTP <i>de novo</i> biosynthesis,HumanCyc,3,C00064;C00025;C00080,11 (11),0.00254,0.0532
purine nucleotides <i>de novo</i> biosynthesis,HumanCyc,5,C00064;C00049;C00025;C00080;C00122,37 (37),0.00262,0.0546
Urea cycle,Reactome,4,C00077;C00049;C00025;C00122,23 (23),0.00278,0.0577
Nicotinate metabolism,Wikipathways,5,C00033;C00022;C00153;C00163;C00080,38 (55),0.00296,0.061
Purine metabolism,EHMN,8,C00064;C00074;C05512;C00022;C00025;C00049;C00080;C00122,94 (94),0.00313,0.0643
Pyrimidine metabolism and related diseases,Wikipathways,4,C00475;C00429;C00178;C00515,24 (31),0.00327,0.0668
The oncogenic action of 2-hydroxyglutarate,SMPDB,5,C00064;C00022;C00025;C00080;C00122,39 (40),0.00332,0.067
adenosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,3,C00049;C00080;C00122,12 (12),0.00333,0.067
Synaptic vesicle cycle - Homo sapiens (human),KEGG,3,C00388;C00080;C00025,12 (12),0.00333,0.067
Glycerophospholipid metabolism,EHMN,8,C00064;C00065;C00188;C00033;C00258;C00222;C00491;C00080,96 (96),0.00357,0.0716
Warburg Effect,SMPDB,6,C00064;C00074;C00022;C00025;C00080;C00122,57 (58),0.00362,0.0723
The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,SMPDB,5,C00064;C00022;C00025;C00080;C00122,40 (41),0.00372,0.0735
The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria ,SMPDB,5,C00064;C00022;C00025;C00080;C00122,40 (41),0.00372,0.0735
G alpha (q) signalling events,Reactome,6,C00077;C00163;C00388;C00033;C00025;C00080,58 (63),0.00395,0.0752
glutamate dependent acid resistance,HumanCyc,2,C00025;C00080,4 (4),0.00401,0.0752
aspartate biosynthesis,HumanCyc,2,C00049;C00025,4 (4),0.00401,0.0752
Cleavage of the damaged pyrimidine ,Reactome,2,C00429;C00178,4 (9),0.00401,0.0752
Depyrimidination,Reactome,2,C00429;C00178,4 (9),0.00401,0.0752
Proton-coupled neutral amino acid transporters,Reactome,2,C00148;C00080,4 (4),0.00401,0.0752
alanine biosynthesis/degradation,HumanCyc,2,C00022;C00025,4 (4),0.00401,0.0752
putrescine biosynthesis I,HumanCyc,2,C00077;C00080,4 (4),0.00401,0.0752
glutamine degradation/glutamate biosynthesis,HumanCyc,2,C00064;C00025,4 (4),0.00401,0.0752
Methylhistidine Metabolism,SMPDB,2,C01152;C00135,4 (4),0.00401,0.0752
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer,Wikipathways,2,C00819;C00022,4 (4),0.00401,0.0752
SCFA and skeletal muscle substrate metabolism,Wikipathways,2,C00033;C00163,4 (4),0.00401,0.0752
Neurotransmitter release cycle,Reactome,5,C00064;C03283;C00025;C00080;C00232,41 (45),0.00415,0.0773
Tyrosine metabolism - Homo sapiens (human),KEGG,7,C00164;C00022;C05600;C03063;C00232;C01384;C00122,78 (78),0.00422,0.0777
Glycolysis and Gluconeogenesis,Wikipathways,3,C00049;C00022;C00074,13 (18),0.00424,0.0777
GABA shunt,HumanCyc,3,C00025;C00080;C00232,13 (13),0.00424,0.0777
Famotidine Action Pathway,SMPDB,3,C00025;C00080;C00388,13 (13),0.00424,0.0777
Propanoate metabolism,INOH,4,C00804;C00163;C06002;C00109,26 (26),0.00442,0.0806
Purine nucleotides nucleosides metabolism,INOH,7,C00064;C00074;C05512;C00022;C00025;C00049;C00122,80 (80),0.00485,0.0882
Trans-sulfuration pathway,Wikipathways,4,C00022;C00109;C00025;C02305,27 (28),0.00508,0.0912
Transmission across Chemical Synapses,Reactome,6,C00064;C00033;C00025;C00080;C00232;C03283,61 (65),0.00509,0.0912
Neuronal System,Reactome,6,C00064;C00033;C00025;C00080;C00232;C03283,61 (65),0.00509,0.0912
Glucose metabolism,Reactome,5,C00049;C00022;C00074;C00025;C00080,43 (44),0.00511,0.0912
glutathione-mediated detoxification,HumanCyc,3,C00022;C00025;C00080,14 (14),0.00529,0.0912
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,HumanCyc,3,C00064;C00025;C00080,14 (14),0.00529,0.0912
Synthesis of Ketone Bodies,Reactome,3,C00033;C00164;C00080,14 (14),0.00529,0.0912
citrulline-nitric oxide cycle,HumanCyc,3,C00049;C00080;C00122,14 (14),0.00529,0.0912
Aflatoxin activation and detoxification,Reactome,3,C00033;C00025;C00080,14 (25),0.00529,0.0912
pyrimidine ribonucleosides degradation,HumanCyc,3,C00475;C00429;C00080,14 (14),0.00529,0.0912
GABA synthesis_ release_ reuptake and degradation,Wikipathways,3,C03283;C00080;C00232,14 (16),0.00529,0.0912
proline biosynthesis,HumanCyc,3,C00148;C00025;C00080,14 (14),0.00529,0.0912
Vitamin B6-dependent and responsive disorders,Wikipathways,3,C00148;C00025;C00449,14 (18),0.00529,0.0912
Pantothenate and CoA biosynthesis - Homo sapiens (human),KEGG,4,C00022;C00049;C00522;C00429,28 (28),0.00581,0.0997
Generic Transcription Pathway,Reactome,5,C00033;C00064;C00153;C00025;C00080,45 (49),0.00622,0.106
Methionine Cysteine metabolism,INOH,5,C00065;C00022;C00491;C00025;C00109,45 (45),0.00622,0.106
ornithine <i>de novo </i> biosynthesis,HumanCyc,3,C00077;C00025;C00080,15 (15),0.00649,0.108
guanosine ribonucleotides <i>de novo</i> biosynthesis,HumanCyc,3,C00064;C00025;C00080,15 (15),0.00649,0.108
Bile salt and organic anion SLC transporters,Reactome,3,C00022;C00164;C00080,15 (17),0.00649,0.108
putrescine degradation III,HumanCyc,3,C02714;C00033;C00080,15 (15),0.00649,0.108
Creatine metabolism,Reactome,3,C00077;C02305;C00080,15 (15),0.00649,0.108
lactate fermentation (reoxidation of cytosolic NADH),HumanCyc,2,C00022;C00080,5 (5),0.00657,0.108
creatine-phosphate biosynthesis,HumanCyc,2,C02305;C00080,5 (5),0.00657,0.108
GABA synthesis,Reactome,2,C00025;C00080,5 (5),0.00657,0.108
Folate metabolism,INOH,5,C00065;C00022;C00074;C00025;C00439,46 (46),0.00683,0.112
inosine-5_-phosphate biosynthesis,HumanCyc,3,C00049;C00080;C00122,16 (16),0.00784,0.126
Ketone body metabolism,Reactome,3,C00033;C00164;C00080,16 (16),0.00784,0.126
Base Excision Repair,Reactome,3,C00153;C00429;C00178,16 (22),0.00784,0.126
lysine degradation I (saccharopine pathway),HumanCyc,3,C00025;C00080;C00449,16 (16),0.00784,0.126
Ketone body metabolism,Wikipathways,3,C00033;C00164;C00080,16 (16),0.00784,0.126
RNA Polymerase II Transcription,Reactome,5,C00033;C00064;C00153;C00025;C00080,48 (52),0.00818,0.131
Pyruvate metabolism,INOH,4,C00033;C00022;C00074;C00164,31 (31),0.0084,0.134
Metabolism of ingested SeMet_ Sec_ MeSec into H2Se,Reactome,4,C00022;C00153;C00388;C00109,31 (32),0.0084,0.134
Biogenic Amine Synthesis,Wikipathways,3,C00135;C00025;C00388,17 (17),0.00933,0.147
guanosine nucleotides <i>de novo</i> biosynthesis,HumanCyc,3,C00064;C00025;C00080,17 (17),0.00933,0.147
5-aminoimidazole ribonucleotide biosynthesis,HumanCyc,3,C00064;C00025;C00080,17 (17),0.00933,0.147
Human metabolism overview,Wikipathways,8,C00064;C00077;C00074;C00164;C00022;C00025;C00049;C00122,113 (113),0.0095,0.149
Neurotransmitter uptake and metabolism In glial cells,Reactome,2,C00064;C00025,6 (6),0.00969,0.15
homocarnosine biosynthesis,HumanCyc,2,C00080;C00135,6 (7),0.00969,0.15
Astrocytic Glutamate-Glutamine Uptake And Metabolism,Reactome,2,C00064;C00025,6 (6),0.00969,0.15
Miscellaneous transport and binding events,Wikipathways,2,C00491;C00080,6 (10),0.00969,0.15
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,4,C00064;C00049;C00025;C00080,33 (34),0.0105,0.161
Amino acid synthesis and interconversion (transamination),Wikipathways,4,C00077;C00033;C00022;C00080,33 (40),0.0105,0.161
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle,HumanCyc,4,C00022;C00074;C00080;C00122,34 (36),0.0117,0.178
Degradation of cysteine and homocysteine,Reactome,4,C00022;C00080;C00025;C00109,34 (39),0.0117,0.178
Transport of bile salts and organic acids_ metal ions and amine compounds,Wikipathways,5,C03283;C00022;C00388;C00080;C00164,53 (77),0.0124,0.187
Selenoamino acid metabolism,Wikipathways,5,C00022;C00153;C00109;C00388;C00080,53 (59),0.0124,0.187
glycolysis,HumanCyc,3,C00022;C00074;C00080,19 (20),0.0128,0.192
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc),Wikipathways,3,C00022;C00074;C00122,19 (19),0.0128,0.192
Citrate cycle,INOH,4,C00022;C00074;C00164;C00122,35 (35),0.0129,0.192
Transcriptional Regulation by TP53,Reactome,4,C00033;C00064;C00025;C00080,35 (37),0.0129,0.192
Nicotinate and Nicotinamide Metabolism,SMPDB,4,C00064;C00153;C00025;C00080,35 (35),0.0129,0.192
NAD salvage,HumanCyc,2,C00153;C00080,7 (7),0.0133,0.195
<i>N</i>-acetylglucosamine degradation II,HumanCyc,2,C00033;C00080,7 (9),0.0133,0.195
cysteine biosynthesis/homocysteine degradation (trans-sulfuration),HumanCyc,2,C00065;C00109,7 (7),0.0133,0.195
pyruvate decarboxylation to acetyl CoA,HumanCyc,2,C00022;C00080,7 (7),0.0133,0.195
Cytosolic iron-sulfur cluster assembly,Wikipathways,2,C00087;C00080,7 (10),0.0133,0.195
Disulfiram Action Pathway,SMPDB,6,C00164;C00033;C00025;C00049;C00080;C00122,75 (77),0.0137,0.2
TCA cycle,EHMN,4,C00033;C00074;C00080;C00122,36 (36),0.0142,0.206
Vitamin B3 (nicotinate and nicotinamide) metabolism,EHMN,4,C00064;C00153;C00025;C00080,36 (36),0.0142,0.206
Metabolism of water-soluble vitamins and cofactors,Reactome,7,C00064;C00163;C00033;C00022;C00153;C00025;C00080,98 (122),0.0143,0.207
Citrate cycle (TCA cycle) - Homo sapiens (human),KEGG,3,C00022;C00074;C00122,20 (20),0.0148,0.209
Synthesis of UDP-N-acetyl-glucosamine,Reactome,3,C00064;C00025;C00080,20 (21),0.0148,0.209
Sialic acid metabolism,Reactome,3,C00022;C00074;C00080,20 (27),0.0148,0.209
leucine degradation,HumanCyc,3,C00164;C00080;C00025,20 (20),0.0148,0.209
valine degradation,HumanCyc,3,C06002;C00025;C00080,20 (20),0.0148,0.209
Sialic acid metabolism,Wikipathways,3,C00022;C00074;C00080,20 (27),0.0148,0.209
Selenoamino acid metabolism,Reactome,5,C00022;C00153;C00080;C00109;C00388,56 (61),0.0155,0.218
Gene expression (Transcription),Reactome,5,C00033;C00064;C00153;C00025;C00080,57 (66),0.0166,0.232
Synthesis of substrates in N-glycan biosythesis,Reactome,5,C00064;C00022;C00074;C00025;C00080,57 (68),0.0166,0.232
Glucose Homeostasis,Wikipathways,3,C00077;C00022;C00135,21 (21),0.0169,0.232
Malonyl-coa decarboxylase deficiency,SMPDB,4,C00222;C00163;C00025;C06002,38 (38),0.0171,0.232
Malonic Aciduria,SMPDB,4,C00222;C00163;C00025;C06002,38 (38),0.0171,0.232
Propanoate Metabolism,SMPDB,4,C00222;C00163;C00025;C06002,38 (38),0.0171,0.232
Methylmalonic Aciduria Due to Cobalamin-Related Disorders,SMPDB,4,C00222;C00163;C00025;C06002,38 (38),0.0171,0.232
creatine biosynthesis,HumanCyc,2,C00077;C00080,8 (8),0.0175,0.232
4-hydroxy-2-nonenal detoxification,HumanCyc,2,C00025;C00080,8 (8),0.0175,0.232
methylglyoxal degradation III,HumanCyc,2,C00080;C05235,8 (8),0.0175,0.232
Base-Excision Repair_ AP Site Formation,Reactome,2,C00429;C00178,8 (14),0.0175,0.232
pyrimidine ribonucleosides degradation,HumanCyc,2,C00475;C00080,8 (8),0.0175,0.232
heparan sulfate biosynthesis (late stages),HumanCyc,2,C00033;C00080,8 (8),0.0175,0.232
Glutamatergic synapse - Homo sapiens (human),KEGG,2,C00064;C00025,8 (8),0.0175,0.232
Homocysteine Degradation,SMPDB,2,C00065;C00109,8 (8),0.0175,0.232
Gamma-cystathionase deficiency (CTH),SMPDB,2,C00065;C00109,8 (8),0.0175,0.232
Homocystinuria_ cystathionine beta-synthase deficiency,SMPDB,2,C00065;C00109,8 (8),0.0175,0.232
threonine degradation,HumanCyc,2,C00109;C00188,8 (8),0.0175,0.232
Base-Excision Repair_ AP Site Formation,Wikipathways,2,C00429;C00178,8 (14),0.0175,0.232
superpathway of tryptophan utilization,HumanCyc,5,C00033;C00064;C02220;C00025;C00080,59 (70),0.019,0.252
Tyrosine metabolism,EHMN,7,C00065;C00164;C00022;C00025;C00080;C00122;C02218,105 (105),0.0203,0.267
The oncogenic action of Succinate,SMPDB,4,C00022;C00148;C00080;C00122,40 (41),0.0204,0.267
TP53 Regulates Metabolic Genes,Reactome,3,C00064;C00025;C00080,23 (25),0.0217,0.274
Glycolysis Pathway D (2),Wikipathways,2,C00022;C00074,9 (14),0.0221,0.274
Acetylcholine Synthesis,Wikipathways,2,C00033;C00022,9 (9),0.0221,0.274
glutamate biosynthesis/degradation,HumanCyc,2,C00025;C00080,9 (9),0.0221,0.274
pyrimidine ribonucleosides salvage I,HumanCyc,2,C00475;C00080,9 (9),0.0221,0.274
selenocysteine biosynthesis,HumanCyc,2,C00065;C00080,9 (10),0.0221,0.274
GABAergic synapse - Homo sapiens (human),KEGG,2,C00064;C00025,9 (9),0.0221,0.274
pyrimidine deoxyribonucleosides degradation,HumanCyc,2,C00178;C00080,9 (10),0.0221,0.274
methylglyoxal degradation I,HumanCyc,2,C00022;C00080,9 (11),0.0221,0.274
purine deoxyribonucleosides degradation,HumanCyc,2,C05512;C00080,9 (10),0.0221,0.274
Multifunctional anion exchangers,Reactome,2,C00022;C00080,9 (10),0.0221,0.274
Degradation of GABA,Reactome,2,C00025;C00232,9 (9),0.0221,0.274
melatonin degradation II,HumanCyc,2,C00033;C00080,9 (11),0.0221,0.274
7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,HumanCyc,2,C00022;C00080,9 (9),0.0221,0.274
wybutosine biosynthesis,HumanCyc,2,C00022;C00080,9 (9),0.0221,0.274
Pyruvaldehyde Degradation,SMPDB,2,C00022;C00080,9 (9),0.0221,0.274
glutathione biosynthesis,HumanCyc,2,C00025;C00080,9 (9),0.0221,0.274
L-dopa degradation,HumanCyc,2,C00025;C00080,9 (12),0.0221,0.274
tRNA splicing,HumanCyc,2,C00153;C00080,9 (11),0.0221,0.274
The oncogenic action of Fumarate,SMPDB,4,C00022;C00148;C00080;C00122,41 (42),0.0221,0.274
Valine_ leucine and isoleucine degradation,EHMN,5,C00349;C06002;C00164;C00080;C00025,62 (62),0.0231,0.285
One carbon metabolism and related pathways,Wikipathways,4,C00217;C00065;C01879;C00109,42 (42),0.0239,0.295
NAD <i>de novo</i> biosynthesis,HumanCyc,3,C00064;C00025;C00080,24 (24),0.0243,0.298
Cytosolic tRNA aminoacylation,Reactome,5,C00064;C00049;C00148;C00025;C00135,63 (66),0.0246,0.299
Mitochondrial tRNA aminoacylation,Reactome,5,C00064;C00049;C00148;C00025;C00135,63 (66),0.0246,0.299
tRNA Aminoacylation,Reactome,5,C00064;C00049;C00148;C00025;C00135,63 (66),0.0246,0.299
The citric acid (TCA) cycle and respiratory electron transport,Wikipathways,4,C00022;C00122;C00080;C00232,43 (44),0.0259,0.313
Nucleotide salvage,Wikipathways,4,C00475;C05512;C00080;C00178,43 (45),0.0259,0.313
Uncoating of the Influenza Virion,Reactome,1,C00080,1 (1),0.0264,0.316
Fusion and Uncoating of the Influenza Virion,Reactome,1,C00080,1 (1),0.0264,0.316
Histamine receptors,Reactome,1,C00388,1 (1),0.0264,0.316
ERK Pathway in Huntington_s Disease,Wikipathways,1,C00025,1 (1),0.0264,0.316
Metabolism of carbohydrates,Reactome,7,C00074;C00033;C00022;C00258;C00025;C00049;C00080,111 (137),0.0266,0.317
gluconeogenesis,HumanCyc,3,C00022;C00074;C00080,25 (26),0.0271,0.317
thymine degradation,HumanCyc,2,C00178;C00080,10 (10),0.0271,0.317
ketolysis,HumanCyc,2,C00164;C00080,10 (10),0.0271,0.317
Utilization of Ketone Bodies,Reactome,2,C00164;C00080,10 (10),0.0271,0.317
heparan sulfate biosynthesis,HumanCyc,2,C00033;C00080,10 (10),0.0271,0.317
uracil degradation,HumanCyc,2,C00429;C00080,10 (10),0.0271,0.317
Putative anti-Inflammatory metabolites formation from EPA,EHMN,2,C00025;C00080,10 (10),0.0271,0.317
Tyrosinemia_ transient_ of the newborn,SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Dopamine beta-hydroxylase deficiency,SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Tyrosine Metabolism,SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Alkaptonuria,SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Monoamine oxidase-a deficiency (MAO-A),SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Hawkinsinuria,SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Tyrosinemia Type I,SMPDB,5,C00122;C00049;C00025;C00080;C00164,65 (67),0.0277,0.318
Pyruvate metabolism and Citric Acid (TCA) cycle,Reactome,4,C00022;C00122;C00080;C00232,44 (44),0.0279,0.319
Nucleotide salvage,Reactome,4,C00475;C05512;C00080;C00178,44 (45),0.0279,0.319
Glucagon signaling pathway - Homo sapiens (human),KEGG,3,C00022;C00074;C00122,26 (26),0.0301,0.341
Nicotinate Nicotinamide metabolism,INOH,3,C00064;C00153;C00025,26 (26),0.0301,0.341
&beta;-alanine degradation,HumanCyc,2,C00222;C00025,11 (11),0.0326,0.366
D-Arginine and D-Ornithine Metabolism,SMPDB,2,C03771;C00515,11 (11),0.0326,0.366
dTMP <i>de novo</i> biosynthesis (mitochondrial),HumanCyc,2,C00065;C00080,11 (11),0.0326,0.366
Disorders of the Krebs cycle,Wikipathways,2,C00022;C00122,11 (14),0.0326,0.366
G alpha (q) signalling events,Wikipathways,4,C00033;C00163;C00388;C00080,47 (52),0.0345,0.385
Branched-chain amino acid catabolism,Reactome,4,C00349;C03793;C00025;C00080,47 (47),0.0345,0.385
Metabolism of polyamines,Wikipathways,4,C00077;C05665;C00080;C02305,47 (59),0.0345,0.385
Glutathione conjugation,Reactome,3,C14856;C00025;C01879,28 (31),0.0365,0.401
Phenylalanine and Tyrosine Metabolism,SMPDB,3,C00122;C00025;C00164,28 (28),0.0365,0.401
Phenylketonuria,SMPDB,3,C00122;C00025;C00164,28 (28),0.0365,0.401
Tyrosinemia Type 3 (TYRO3),SMPDB,3,C00122;C00025;C00164,28 (28),0.0365,0.401
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMPDB,3,C00122;C00025;C00164,28 (28),0.0365,0.401
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide_ LLO) and transfer to a nascent protein,Reactome,5,C00064;C00022;C00074;C00025;C00080,70 (81),0.0367,0.402
ketogenesis,HumanCyc,2,C00164;C00080,12 (12),0.0384,0.413
ethanol degradation II,HumanCyc,2,C00033;C00080,12 (12),0.0384,0.413
2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA,HumanCyc,2,C02220;C00080,12 (12),0.0384,0.413
Gastric Acid Production,SMPDB,2,C00388;C00080,12 (12),0.0384,0.413
Betazole Action Pathway,SMPDB,2,C00388;C00080,12 (13),0.0384,0.413
Roxatidine acetate Action Pathway,SMPDB,2,C00388;C00080,12 (12),0.0384,0.413
Threonine catabolism,Wikipathways,2,C00080;C00109,12 (15),0.0384,0.413
fig-met-1-last-solution,Wikipathways,2,C00022;C00122,12 (14),0.0384,0.413
Lipid Metabolism Pathway,Wikipathways,2,C00033;C00022,12 (14),0.0384,0.413
Metabolic reprogramming in colon cancer,Wikipathways,3,C00022;C00074;C00122,29 (35),0.0399,0.419
Translation,Reactome,5,C00064;C00049;C00148;C00025;C00135,72 (78),0.0407,0.419
Purine Nucleoside Phosphorylase Deficiency,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Xanthine Dehydrogenase Deficiency (Xanthinuria),SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Adenylosuccinate Lyase Deficiency,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
AICA-Ribosiduria,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Adenine phosphoribosyltransferase deficiency (APRT),SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Mitochondrial DNA depletion syndrome,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Myoadenylate deaminase deficiency,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Purine Metabolism,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Molybdenum Cofactor Deficiency,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Adenosine Deaminase Deficiency,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Gout or Kelley-Seegmiller Syndrome,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Lesch-Nyhan Syndrome (LNS),SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Xanthinuria type I,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Xanthinuria type II,SMPDB,5,C00064;C05512;C00049;C00025;C00122,72 (73),0.0407,0.419
Lysine catabolism,Reactome,3,C00025;C00080;C00449,30 (32),0.0435,0.445
Citric acid cycle (TCA cycle),Reactome,3,C00022;C00080;C00122,30 (30),0.0435,0.445
L-kynurenine degradation,HumanCyc,3,C02220;C00025;C00080,30 (30),0.0435,0.445
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes),HumanCyc,2,C00074;C00080,13 (15),0.0447,0.445
folate polyglutamylation,HumanCyc,2,C00065;C00025,13 (13),0.0447,0.445
ethanol degradation IV,HumanCyc,2,C00033;C00080,13 (13),0.0447,0.445
Esomeprazole Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Lansoprazole Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Nizatidine Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Cimetidine Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Ranitidine Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Metiamide Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Pirenzepine Action Pathway,SMPDB,2,C00388;C00080,13 (13),0.0447,0.445
Threonine catabolism,Reactome,2,C00109;C00080,13 (15),0.0447,0.445
mRNA_ protein_ and metabolite inducation pathway by cyclosporin A,Wikipathways,2,C00064;C00188,13 (13),0.0447,0.445
Thiamine metabolism - Homo sapiens (human),KEGG,3,C00022;C01279;C04294,31 (31),0.0473,0.465
Ferroptosis - Homo sapiens (human),KEGG,3,C00491;C00418;C00025,31 (31),0.0473,0.465
Glycolysis,Reactome,3,C00022;C00074;C00080,31 (32),0.0473,0.465
Glycolysis / Gluconeogenesis - Homo sapiens (human),KEGG,3,C00033;C00022;C00074,31 (31),0.0473,0.465
Trans-sulfuration and one carbon metabolism,Wikipathways,3,C00077;C00065;C01005,31 (33),0.0473,0.465
Glycolysis and Gluconeogenesis,EHMN,4,C00033;C00022;C00074;C00080,52 (52),0.0474,0.466
Lysine metabolism,EHMN,4,C03793;C00025;C00080;C00449,53 (53),0.0503,0.475
Aminosugars metabolism,INOH,3,C00064;C00074;C00025,32 (32),0.0512,0.475
Pyruvate dehydrogenase deficiency (E3),SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
Pyruvate dehydrogenase deficiency (E2),SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
2-ketoglutarate dehydrogenase complex deficiency,SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
Mitochondrial complex II deficiency,SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
Fumarase deficiency,SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
Congenital lactic acidosis,SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
Citric Acid Cycle,SMPDB,3,C00022;C00080;C00122,32 (33),0.0512,0.475
L-carnitine biosynthesis,HumanCyc,2,C03793;C00080,14 (14),0.0512,0.475
Glutathione synthesis and recycling,Reactome,2,C00025;C01879,14 (14),0.0512,0.475
Gastric acid secretion - Homo sapiens (human),KEGG,2,C00388;C00080,14 (14),0.0512,0.475
2-oxobutanoate degradation,HumanCyc,2,C00109;C00080,14 (14),0.0512,0.475
Pantoprazole Action Pathway,SMPDB,2,C00388;C00080,14 (14),0.0512,0.475
Rabeprazole Action Pathway,SMPDB,2,C00388;C00080,14 (14),0.0512,0.475
Omeprazole Action Pathway,SMPDB,2,C00388;C00080,14 (14),0.0512,0.475
Trans-sulfuration pathway,Wikipathways,2,C00022;C00025,14 (14),0.0512,0.475
NAD+ metabolism,Wikipathways,2,C00022;C00153,14 (14),0.0512,0.475
phosphatidylserine biosynthesis II,HumanCyc,1,C00065,2 (4),0.0522,0.475
DNA Damage Recognition in GG-NER,Reactome,1,C00153,2 (2),0.0522,0.475
Insulin receptor recycling,Reactome,1,C00080,2 (2),0.0522,0.475
HDACs deacetylate histones,Reactome,1,C00033,2 (3),0.0522,0.475
Sodium/Proton exchangers,Reactome,1,C00080,2 (2),0.0522,0.475
Uptake and function of diphtheria toxin,Reactome,1,C00153,2 (2),0.0522,0.475
Presynaptic function of Kainate receptors,Reactome,1,C00025,2 (2),0.0522,0.475
Rhesus glycoproteins mediate ammonium transport.,Reactome,1,C00080,2 (2),0.0522,0.475
phosphatidylserine biosynthesis I,HumanCyc,1,C00065,2 (4),0.0522,0.475
Synaptic adhesion-like molecules,Reactome,1,C00025,2 (2),0.0522,0.475
thyronamine and iodothyronamine metabolism,HumanCyc,1,C00080,2 (11),0.0522,0.475
Protein-protein interactions at synapses,Reactome,1,C00025,2 (2),0.0522,0.475
Esomeprazole Metabolism Pathway,SMPDB,1,C00080,2 (2),0.0522,0.475
Lansoprazole Metabolism Pathway,SMPDB,1,C00080,2 (2),0.0522,0.475
Degradation of AXIN,Reactome,1,C00153,2 (2),0.0522,0.475
SALM protein interactions at the synapse,Wikipathways,1,C00025,2 (2),0.0522,0.475
The citric acid (TCA) cycle and respiratory electron transport,Reactome,4,C00022;C00122;C00080;C00232,54 (56),0.0533,0.483
Sulfur amino acid metabolism,Reactome,4,C00022;C00109;C00025;C00080,54 (66),0.0533,0.483
Taste transduction - Homo sapiens (human),KEGG,3,C00740;C00080;C00025,33 (33),0.0553,0.5
